da,text,delex_da,delex_text
"inform(name=""Švejk Restaurant"")&inform(address=""Malostranské náměstí 46"")",Adresa restaurace Švejk Restaurant je Malostranské náměstí 46.,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address .
"inform(name=""U Tučňáků"")&inform(postcode=""143 00"")",Poštovní směrovací číslo restaurace U Tučňáků je 143 00.,inform(name=X-name)&inform(postcode=X-postcode),poštovní směrovací číslo restaurace X-name je X-postcode .
"inform(name=""Baráčnická rychta"")&inform(type=restaurant)",Je to restaurace Baráčnická rychta.,inform(name=X-name)&inform(type=restaurant),je to restaurace X-name .
goodbye(),Děkuji.,goodbye(),děkuji .
?request(price_range),Kolik přibližně máte v plánu utratit?,?request(price_range),kolik přibližně máte v plánu utratit ?
inform(name=Místo)&inform(price_range=cheap),Cenová kategorie Místa je levná.,inform(name=X-name)&inform(price_range=X-price_range),cenová kategorie X-name je X-price_range .
goodbye(),"Na shledanou, mějte se.",goodbye(),"na shledanou , mějte se ."
inform(type=restaurant)&inform(food=French)&inform(count=3),"Jsou zde 3 restaurace, které nabízejí francouzskou kuchyni.",inform(type=restaurant)&inform(food=X-food)&inform(count=X-count),"jsou zde X-count restaurace , které nabízejí X-food kuchyni ."
?request(price_range),Jakou cenovou kategorii jste chtěli?,?request(price_range),jakou cenovou kategorii jste chtěli ?
inform(name=Ferdinanda)&inform(food=Indian)&inform(price_range=cheap),"Ferdinanda je indická restaurace, která patří k levnějším.",inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),"X-name je X-food restaurace , která patří k X-price_range ."
inform(name=Ferdinanda)&inform(price_range=cheap),Ferdinanda patří do nižší cenové kategorie,inform(name=X-name)&inform(price_range=X-price_range),X-name patří do X-price_range cenové kategorie
"inform(name=""U Konšelů"")&inform(phone=293464060)",Do restaurace U Konšelů můžete zavolat na číslo 293464060.,inform(name=X-name)&inform(phone=X-phone),do restaurace X-name můžete zavolat na číslo X-phone .
"inform(price=""between 110 and 290 Kč"")&inform(name=Místo)",Ceny v Místě se pohybují zhruba mezi 110 a 290 Kč.,inform(price=X-price)&inform(name=X-name),ceny v X-name se pohybují zhruba X-price .
?select(price_range=cheap)&?select(price_range=dont_care),"Omlouvám se, opravdu vám nezáleží na ceně nebo chcete něco levného?",?select(price_range=X-price_range)&?select(price_range=dont_care),"omlouvám se , opravdu vám nezáleží na ceně nebo chcete něco X-price_range ?"
goodbye(),Nemáte zač. Mějte se.,goodbye(),nemáte zač . mějte se .
"inform(name=""U Tučňáků"")&inform(price_range=cheap)",U Tučňáků spadá do Vámi vybrané kategorie levných restaurací,inform(name=X-name)&inform(price_range=X-price_range),X-name spadá do vámi vybrané kategorie X-price_range restaurací
inform_no_match(area=Vinohrady)&inform_no_match(price_range=moderate),Na Vinohradech se nenachází žádná restaurace s průměrnými cenami.,inform_no_match(area=X-area)&inform_no_match(price_range=X-price_range),na X-area se nenachází žádná restaurace s X-price_range cenami .
"inform(name=""Kočár z Vídně"")&inform(area=Hradčany)&inform(price_range=cheap)",Kočár z Vídně je levná restaurace na Hradčanech.,inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range),X-name je X-price_range restaurace na X-area .
goodbye(),Děkuji za zavolání. Děkuji.,goodbye(),děkuji za zavolání . děkuji .
inform(name=Ferdinanda)&inform(price_range=moderate)&inform(kids_allowed=no),Ferdinanda není vhodná pro děti a nabízí běžné ceny.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=no),X-name není vhodná pro děti a nabízí X-price_range ceny .
inform(type=restaurant)&inform(price_range=moderate)&inform(count=77)&inform(kids_allowed=no),77 restaurací ve střední cenové skupině nepovoluje vstup s dětmi.,inform(type=restaurant)&inform(price_range=X-price_range)&inform(count=X-count)&inform(kids_allowed=no),X-count restaurací ve X-price_range cenové skupině nepovoluje vstup s dětmi .
?request(good_for_meal),"Hledáte snídaně, obědy nebo večeře?",?request(good_for_meal),"hledáte snídaně , obědy nebo večeře ?"
inform(name=Místo)&inform(price_range=expensive)&inform(kids_allowed=no),Místo je příjemná restaurace drahé cenové kategorie a děti v ní nejsou vítány.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=no),X-name je příjemná restaurace X-price_range cenové kategorie a děti v ní nejsou vítány .
"inform(price=""between 150 and 220 Kč"")&inform(name=""Kočár z Vídně"")&inform(near=Stromovka)",Kočár z Vídně se nachází blízko Stromovky a ceny jsou zde mezi 150 a 220 Kč.,inform(price=X-price)&inform(name=X-name)&inform(near=X-near),X-name se nachází blízko X-near a ceny jsou zde X-price .
"inform(name=""Kočár z Vídně"")&inform(phone=228964212)",Restaurace Kočár z Vídně má kontaktní telefonní číslo 228964212.,inform(name=X-name)&inform(phone=X-phone),restaurace X-name má kontaktní telefonní číslo X-phone .
inform(type=restaurant)&inform(price_range=moderate)&inform(count=77)&inform(kids_allowed=no),77 restaurací není vhodných pro děti a jsou v běžné cenové kategorii.,inform(type=restaurant)&inform(price_range=X-price_range)&inform(count=X-count)&inform(kids_allowed=no),X-count restaurací není vhodných pro děti a jsou v X-price_range cenové kategorii .
?request(good_for_meal),"Chcete najít restauraci vhodnou pro snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"chcete najít restauraci vhodnou pro snídani , brunch , oběd nebo večeři ?"
goodbye(),Na shledanou,goodbye(),na shledanou
"inform(name=""Green Spirit"")&inform(area=Nusle)&inform(price_range=cheap)","Green Spirit najdete v Nuslích, pokrmy jsou tu levné.",inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range),"X-name najdete v X-area , pokrmy jsou tu X-price_range ."
"inform(name=""Café Kampus"")&inform(food=German)&inform(phone=275548999)","Café Kampus vaří německá jídla, telefon je 275548999.",inform(name=X-name)&inform(food=X-food)&inform(phone=X-phone),"X-name vaří X-food jídla , telefon je X-phone ."
goodbye(),Děkuji a přeji krásný den.,goodbye(),děkuji a přeji krásný den .
?request(price_range),V jaké cenové relaci mám restauraci hledat?,?request(price_range),v jaké cenové relaci mám restauraci hledat ?
?confirm(price_range=dont_care),"Mohu se ujistit, že vám nezáleží na cenové kategorii?",?confirm(price_range=dont_care),"mohu se ujistit , že vám nezáleží na cenové kategorii ?"
?request(price_range),Máte zájem o nějakou další cenovou skupinu?,?request(price_range),máte zájem o nějakou další cenovou skupinu ?
"inform(name=""Baráčnická rychta"")&inform(price_range=moderate)",Baráčnická rychta je v normální cenové relaci.,inform(name=X-name)&inform(price_range=X-price_range),X-name je v X-price_range cenové relaci .
"inform(name=BarBar)&inform(address=""Štefánikova 34"")",BarBar se nachází na adrese Štefánikova 34.,inform(name=X-name)&inform(address=X-address),X-name se nachází na adrese X-address .
"inform(name=Místo)&inform(postcode=""161 00"")",Poštovní směrovací číslo pro Místo je 161 00.,inform(name=X-name)&inform(postcode=X-postcode),poštovní směrovací číslo pro X-name je X-postcode .
goodbye(),Na shledanou,goodbye(),na shledanou
?request(food),Jaký druh jídla si přejete?,?request(food),jaký druh jídla si přejete ?
"?select(kids_allowed=""yes or no"")","Hledáte restauraci, kde je dovolen vstup s dětmi, nebo ne?","?select(kids_allowed=""yes or no"")","hledáte restauraci , kde je dovolen vstup s dětmi , nebo ne ?"
inform(name=Ferdinanda)&inform(good_for_meal=brunch)&inform(kids_allowed=yes),Ferdinanda podává pozdní snídaně a je vhodná pro návštěvu s dětmi.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),X-name podává X-good_for_meal a je vhodná pro návštěvu s dětmi .
inform(area=Hradčany)&inform(name=Ananta)&inform(phone=254948710),Ananta se nachází na Hradčanech. Její telefon je 254948710.,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name se nachází na X-area . její telefon je X-phone .
goodbye(),Bylo mi potěšením. Na shledanou.,goodbye(),bylo mi potěšením . na shledanou .
?request(food),"Mohu se zeptat, jaký typ restaurace hledáte?",?request(food),"mohu se zeptat , jaký typ restaurace hledáte ?"
?confirm(food=dont_care),"Můžete mi potvrdit, že vám nezáleží na typu jídla?",?confirm(food=dont_care),"můžete mi potvrdit , že vám nezáleží na typu jídla ?"
"inform(name=""Baráčnická rychta"")&inform(near=""Prague Castle"")&inform(food=German)",Blízko Pražského hradu je krásná německá restaurace jménem Baráčnická rychta.,inform(name=X-name)&inform(near=X-near)&inform(food=X-food),blízko X-near je krásná X-food restaurace jménem X-name .
"inform(near=""Wenceslas Square"")&inform(food=Asian)&inform(name=""U Tučňáků"")","Blízko Václavského náměstí je restaurace U Tučňáků, která nabízí asijská jídla.",inform(near=X-near)&inform(food=X-food)&inform(name=X-name),"blízko X-near je restaurace X-name , která nabízí X-food jídla ."
"inform(address=""Malostranské náměstí 50"")&inform(area=""Malá Strana"")&inform(name=""Kočár z Vídně"")",Restaurace Kočár z Vídně je na Malé Straně a nachází se na adrese Malostranské náměstí 50.,inform(address=X-address)&inform(area=X-area)&inform(name=X-name),restaurace X-name je na X-area a nachází se na adrese X-address .
goodbye(),"Na shledanou, přeji Vám krásný den.",goodbye(),"na shledanou , přeji vám krásný den ."
"inform(near=""Petřín Tower"")&inform(name=Místo)",Místo je nedaleko Petřínské věže.,inform(near=X-near)&inform(name=X-name),X-name je nedaleko X-near .
"inform(type=restaurant)&inform(name=""Pivo & Basilico"")",Navrhuju třeba restauraci jménem Pivo & Basilico.,inform(type=restaurant)&inform(name=X-name),navrhuju třeba restauraci jménem X-name .
"inform(name=""Pivo & Basilico"")&inform(food=vegetarian)",Pivo & Basilico má v nabídce vegetariánská jídla.,inform(name=X-name)&inform(food=X-food),X-name má v nabídce X-food jídla .
inform(type=restaurant)&inform(name=Ananta),Ananta je příjemná restaurace poblíž.,inform(type=restaurant)&inform(name=X-name),X-name je příjemná restaurace poblíž .
?request(near),Hledáte nějaké konkrétní místo?,?request(near),hledáte nějaké konkrétní místo ?
?request(price_range),Upřednostňujete některou cenovou skupinu?,?request(price_range),upřednostňujete některou cenovou skupinu ?
goodbye(),Děkuji.,goodbye(),děkuji .
?request(price_range),"Je nějaká cenová kategorie, které byste dali přednost?",?request(price_range),"je nějaká cenová kategorie , které byste dali přednost ?"
"inform(near=Stromovka)&inform(name=""Café Savoy"")&inform(price_range=cheap)",Café Savoy je levná restaurace v blízkosti Stromovky.,inform(near=X-near)&inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range restaurace v blízkosti X-near .
"inform(area=Karlín)&inform(name=""Pivo & Basilico"")&inform(address=""Kaprova 36"")",Restaurace Pivo & Basilico se nachází v Karlíně. Adresa je Kaprova 36.,inform(area=X-area)&inform(name=X-name)&inform(address=X-address),restaurace X-name se nachází v X-area . adresa je X-address .
goodbye(),Na shledanou.,goodbye(),na shledanou .
?request(price_range),Jakou cenovou relaci byste rádi?,?request(price_range),jakou cenovou relaci byste rádi ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),Našla jsem 239 restaurací ve všech třech cenových skupinách.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),našla jsem X-count restaurací ve všech třech cenových skupinách .
?request(food),Na jakou kuchyni máte chuť?,?request(food),na jakou kuchyni máte chuť ?
"inform_no_match(food=Czech)&inform_no_match(area=""Malá Strana"")","Na Malé Straně není žádná restaurace, která by měla v nabídce česká jídla.",inform_no_match(food=X-food)&inform_no_match(area=X-area),"na X-area není žádná restaurace , která by měla v nabídce X-food jídla ."
"inform(near=""Powder Tower"")&inform(name=Místo)&inform(food=Turkish)",Místo poblíž Prašné brány nabízí tureckou kuchyni.,inform(near=X-near)&inform(name=X-name)&inform(food=X-food),X-name poblíž X-near nabízí X-food kuchyni .
"inform(address=""Štefánikova 39"")&inform(name=""Švejk Restaurant"")",Restauraci Švejk najdete na adrese Štefánikova 39,inform(address=X-address)&inform(name=X-name),X-name najdete na adrese X-address
"inform(name=""Baráčnická rychta"")&inform(price_range=cheap)","Našla jsem levnou restauraci, jmenuje se Baráčnická rychta.",inform(name=X-name)&inform(price_range=X-price_range),"našla jsem X-price_range restauraci , jmenuje se X-name ."
goodbye(),Na shledanou.,goodbye(),na shledanou .
?request(food),Na co máte chuť?,?request(food),na co máte chuť ?
"inform(name=""U Tučňáků"")&inform(food=French)",U Tučňáků se soustředí na francouzskou kuchyni.,inform(name=X-name)&inform(food=X-food),X-name se soustředí na X-food kuchyni .
"inform(name=""Café Kampus"")&inform(area=Vinohrady)",Poblíž Vinohrad se nachází dobrá restaurace jménem Café Kampus.,inform(name=X-name)&inform(area=X-area),poblíž X-area se nachází dobrá restaurace jménem X-name .
inform_no_match(area=Smíchov)&inform_no_match(food=Chinese),"Je mi líto, ale na Smíchově není žádná čínská restaurace.",inform_no_match(area=X-area)&inform_no_match(food=X-food),"je mi líto , ale na X-area není žádná X-food restaurace ."
goodbye(),Na slyšenou příště.,goodbye(),na slyšenou příště .
?request(food),"Řeknete mi prosím, o jaký druh jídla máte zájem?",?request(food),"řeknete mi prosím , o jaký druh jídla máte zájem ?"
?request(price_range),Určitě vám nezáleží na cenové skupině?,?request(price_range),určitě vám nezáleží na cenové skupině ?
inform(name=Ananta)&inform(food=Italian),Ananta je příjemná restaurace podávající italskou kuchyni.,inform(name=X-name)&inform(food=X-food),X-name je příjemná restaurace podávající X-food kuchyni .
"inform(near=""TV Tower"")&inform(name=""U Konšelů"")",Nedaleko od televizní věže najdeme pěknou restauraci U Konšelů.,inform(near=X-near)&inform(name=X-name),nedaleko od X-near najdeme pěknou restauraci X-name .
"inform(name=""Kočár z Vídně"")&inform(near=""Wenceslas Square"")&inform(food=American)",V restauraci Kočár z Vídně poblíž Václavského náměstí podávají americká jídla.,inform(name=X-name)&inform(near=X-near)&inform(food=X-food),v restauraci X-name poblíž X-near podávají X-food jídla .
